character1	character2	mssim
Y	=	0.324317
Y	#	0.36294
Y	>	0.422761
Y	¯	0.323255
Y	[	0.0688967
Y	|	0.466183
Y	+	0.409112
Y	]	0.12924
Y	/	0.414094
Y	<	0.424397
Y	 	0.451625
Y	_	0.324363
Z	Z	1
Z	k	0.474307
Z	v	0.262026
Z	w	0.408504
Z	x	0.349143
Z	z	0.487558
Z	\	0.282955
Z	^	0.241648
Z	-	0.296497
Z	=	0.234145
Z	#	0.439293
Z	>	0.337433
Z	¯	0.21762
Z	[	0.0831322
Z	|	0.238156
Z	+	0.202903
Z	]	0.103648
Z	/	0.490635
Z	<	0.30803
Z	 	0.367006
Z	_	0.253036
k	k	1
k	v	0.393642
k	w	0.521495
k	x	0.512191
k	z	0.442778
k	\	0.280708
k	^	0.205652
k	-	0.369279
k	=	0.365355
k	#	0.324079
k	>	0.352425
k	¯	0.2004
k	[	0.251398
k	|	0.16436
k	+	0.307544
k	]	0.0566893
k	/	0.264689
k	<	0.320666
k	 	0.363053
k	_	0.247842
v	v	1
v	w	0.391098
v	x	0.54273
v	z	0.522782
v	\	0.226276
v	^	0.238544
v	-	0.50045
v	=	0.508197
v	#	0.356112
v	>	0.405237
v	¯	0.324063
v	[	0.132419
v	|	0.269827
v	+	0.455078
v	]	0.177456
v	/	0.224323
v	<	0.422526
v	 	0.501078
v	_	0.376073
w	w	1
w	x	0.525061
w	z	0.548637
w	\	0.327552
w	^	0.153103
w	-	0.439853
w	=	0.449364
w	#	0.4234
w	>	0.374424
w	¯	0.243283
w	[	0.143637
w	|	0.176269
w	+	0.359437
w	]	0.14376
w	/	0.349027
w	<	0.378474
w	 	0.420298
w	_	0.305143
x	x	1
x	z	0.618559
x	\	0.333121
x	^	0.160284
x	-	0.426423
x	=	0.423199
x	#	0.433256
x	>	0.434607
x	¯	0.245658
x	[	0.117008
x	|	0.196632
x	+	0.373082
x	]	0.149742
x	/	0.358182
x	<	0.424763
x	 	0.422673
x	_	0.329718
z	z	1
z	\	0.305765
z	^	0.183263
z	-	0.41931
z	=	0.415327
z	#	0.389462
z	>	0.477421
z	¯	0.294172
z	[	0.113196
z	|	0.275657
z	+	0.36658
z	]	0.13772
z	/	0.381927
z	<	0.379968
z	 	0.471187
z	_	0.357217
\	\	1
\	^	0.312443
\	-	0.387644
\	=	0.312735
\	#	0.211684
\	>	0.357613
\	¯	0.374918
\	[	0.118035
\	|	0.286157
\	+	0.316686
\	]	0.159527
\	/	0.174183
\	<	0.350167
\	 	0.471717
\	_	0.379308
^	^	1
^	-	0.425999
^	=	0.307394
^	#	0.132978
^	>	0.327566
^	¯	0.629401
^	[	0.316148
^	|	0.345872
^	+	0.285094
^	]	0.369727
^	/	0.289478
^	<	0.323872
^	 	0.674063
^	_	0.532463
-	-	1
-	=	0.439681
-	#	0.258852
-	>	0.473844
-	¯	0.574921
-	[	0.197562
-	|	0.379297
-	+	0.725796
-	]	0.254988
-	/	0.390511
-	<	0.502117
-	 	0.751936
-	_	0.610337
=	=	1
=	#	0.438682
=	>	0.446166
=	¯	0.398248
=	[	0.11211
=	|	0.291343
=	+	0.409384
=	]	0.153342
=	/	0.315602
=	<	0.458694
=	 	0.575263
=	_	0.433663
#	#	1
#	>	0.351769
#	¯	0.161886
#	[	0.0336464
#	|	0.153889
#	+	0.289714
#	]	0.0539193
#	/	0.297675
#	<	0.35951
#	 	0.314997
#	_	0.197302
>	>	1
>	¯	0.368166
>	[	0.135151
>	|	0.33041
>	+	0.505786
>	]	0.119898
>	/	0.36048
>	<	0.363994
>	 	0.545181
>	_	0.403582
¯	¯	1
¯	[	0.346984
¯	|	0.420808
¯	+	0.374905
¯	]	0.413016
¯	/	0.357981
¯	<	0.380693
¯	 	0.822985
¯	_	0.681385
[	[	1
[	|	0.0816654
[	+	0.0379163
[	]	0.281937
[	/	0.118673
[	<	0.0680831
[	 	0.314854
[	_	0.333117
|	|	1
|	+	0.482331
|	]	0.168243
|	/	0.291476
|	<	0.355388
|	 	0.503065
|	_	0.434428
+	+	1
+	]	0.095343
+	/	0.319553
+	<	0.534058
+	 	0.55192
+	_	0.41032
]	]	1
]	/	0.16232
]	<	0.194586
]	 	0.39663
]	_	0.402449
/	/	1
/	<	0.353034
/	 	0.474584
/	_	0.397515
<	<	1
<	 	0.557709
<	_	0.416109
 	 	1
 	_	0.8584
_	_	1
